City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Datetime
Santa Vitória do Palmar,-33.5189,-53.3681,52.12,91,88,22.1,BR,1621747628
Mar del Plata,-38.0023,-57.5575,57.09,63,90,1.01,AR,1621747400
Steinbach am Taunus,50.1667,8.5667,51.6,84,20,9.08,DE,1621747582
Bambous Virieux,-20.3428,57.7575,76.21,70,40,16.73,MU,1621747400
Taoudenni,22.6783,-3.9836,90.97,23,13,3.38,ML,1621747629
Awjilah,29.1081,21.2869,70.07,33,0,9.8,LY,1621747629
Punta Arenas,-53.15,-70.9167,37.51,89,90,6.02,CL,1621747339
Staryy Nadym,65.6118,72.6842,64.13,56,100,16.8,RU,1621747577
Arraial do Cabo,-22.9661,-42.0278,73.72,77,94,3.15,BR,1621747422
Iskateley,67.6803,53.1512,50.54,71,67,16.84,RU,1621747407
Busselton,-33.65,115.3333,54.09,81,88,20.87,AU,1621747363
Cockburn Town,21.4612,-71.1419,77.61,76,87,18.3,TC,1621747630
Shimokizukuri,40.8061,140.3861,65.25,94,100,3.98,JP,1621747631
Poya,-21.35,165.15,73.81,62,6,9.51,NC,1621747631
Hobart,-42.8794,147.3294,66.92,59,75,4.61,AU,1621747357
Avarua,-21.2078,-159.775,77.05,73,95,12.66,CK,1621747368
Te Anau,-45.4167,167.7167,46.62,86,2,1.14,NZ,1621747590
Auki,-8.7676,160.7034,83.35,73,100,2.73,SB,1621747632
Nishihara,26.1842,127.7558,85.68,78,75,13.27,JP,1621747632
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Sterling,39.0062,-77.4286,77.59,56,75,5.01,US,1621747436
Grand-Santi,4.25,-54.3833,72.5,100,58,1.86,GF,1621747632
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Saldanha,-33.0117,17.9442,57.94,46,95,8.68,ZA,1621747212
Bozoum,6.3193,16.3799,68.04,96,94,4.88,CF,1621747633
Lebu,-37.6167,-73.65,49.05,89,13,5.55,CL,1621747385
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Praia,14.9215,-23.5087,72.14,73,20,9.22,CV,1621747436
Cape Town,-33.9258,18.4232,60.12,41,0,4.36,ZA,1621747195
Papetoai,-17.4961,-149.8729,80.19,71,48,13.13,PF,1621747634
Arraial do Cabo,-22.9661,-42.0278,73.72,77,94,3.15,BR,1621747422
Hilo,19.7297,-155.09,73.8,94,90,5.75,US,1621747419
Saint-Philippe,-21.3585,55.7679,76.55,62,45,11.56,RE,1621747370
Porto Walter,-8.2686,-72.7439,73.58,89,19,1.59,BR,1621747634
Ilulissat,69.2167,-51.1,28.42,74,75,10.36,GL,1621747379
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Riyadh,24.6877,46.7219,100.45,8,0,0.0,SA,1621747547
Mar del Plata,-38.0023,-57.5575,57.09,63,90,1.01,AR,1621747400
Eppelborn,49.4,6.9667,48.34,91,93,5.01,DE,1621747635
Mataura,-46.1927,168.8643,49.48,91,3,0.51,NZ,1621747356
Dikson,73.5069,80.5464,34.27,98,100,25.01,RU,1621747445
Husavik,66.0449,-17.3389,40.91,99,100,9.53,IS,1621747635
Fairbanks,64.8378,-147.7164,50.09,62,90,13.8,US,1621747203
Mataura,-46.1927,168.8643,49.48,91,3,0.51,NZ,1621747356
Babu,24.4167,111.5167,91.8,60,94,3.38,CN,1621747636
Saskylakh,71.9167,114.0833,34.77,100,71,12.53,RU,1621747361
Pisco,-13.7,-76.2167,64.45,82,90,9.22,PE,1621747456
Mataura,-46.1927,168.8643,49.48,91,3,0.51,NZ,1621747356
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Avarua,-21.2078,-159.775,77.05,73,95,12.66,CK,1621747368
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Horta,38.5333,-28.6333,57.63,64,25,4.38,PT,1621747637
Alta,69.9689,23.2717,34.86,51,90,4.61,NO,1621747637
Ancud,-41.8697,-73.8203,55.22,93,100,13.56,CL,1621747429
Nanortalik,60.1432,-45.2371,33.69,69,100,1.3,GL,1621747565
Ponta do Sol,32.6667,-17.1,64.0,76,91,10.11,PT,1621747366
Saint Paul Harbor,57.79,-152.4072,51.31,66,1,5.75,US,1621747376
Hithadhoo,-0.6,73.0833,84.38,66,94,9.42,MV,1621747274
Saint Paul Harbor,57.79,-152.4072,51.31,66,1,5.75,US,1621747376
Havøysund,70.9963,24.6622,38.28,54,97,5.59,NO,1621747387
Kurikka,62.6167,22.4167,38.86,89,95,3.4,FI,1621747638
Buala,-8.145,159.5921,82.62,79,100,5.01,SB,1621747639
Kapaa,22.0752,-159.319,78.78,59,90,9.42,US,1621747390
Albany,42.6001,-73.9662,70.81,60,37,7.0,US,1621747105
Mataura,-46.1927,168.8643,49.48,91,3,0.51,NZ,1621747356
Mangan,27.5167,88.5333,86.95,53,1,6.71,IN,1621747640
Atuona,-9.8,-139.0333,79.92,75,13,18.39,PF,1621747410
Hambantota,6.1241,81.1185,84.54,68,40,20.24,LK,1621747487
Hobart,-42.8794,147.3294,66.92,59,75,4.61,AU,1621747357
Punta Arenas,-53.15,-70.9167,37.51,89,90,6.02,CL,1621747339
Hermanus,-34.4187,19.2345,59.9,50,32,7.65,ZA,1621747365
Provideniya,64.3833,-173.3,37.2,75,91,4.52,RU,1621747360
Albany,42.6001,-73.9662,70.81,60,37,7.0,US,1621747105
Ambunti,-4.2365,142.8448,84.81,82,100,0.67,PG,1621747641
Fairbanks,64.8378,-147.7164,50.09,62,90,13.8,US,1621747203
Bredasdorp,-34.5322,20.0403,43.92,66,24,4.85,ZA,1621747363
Kaitangata,-46.2817,169.8464,51.93,81,6,4.61,NZ,1621747419
Srednekolymsk,67.45,153.6833,46.6,53,24,12.73,RU,1621747393
Beneditinos,-5.45,-42.3667,79.93,78,26,2.48,BR,1621747642
Cherskiy,68.75,161.3,40.6,55,70,3.2,RU,1621747365
Mount Isa,-20.7333,139.5,82.17,26,0,9.22,AU,1621747387
Bluff,-46.6,168.3333,49.8,91,17,13.67,NZ,1621747357
Vaini,-21.2,-175.2,77.16,94,75,2.3,TO,1621747374
Karratha,-20.7377,116.8463,86.2,19,20,11.86,AU,1621747383
Kavaratti,10.5669,72.642,82.2,76,100,7.02,IN,1621747643
Cayenne,4.9333,-52.3333,77.09,90,75,4.0,GF,1621747533
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Punta Arenas,-53.15,-70.9167,37.51,89,90,6.02,CL,1621747339
Hilo,19.7297,-155.09,73.8,94,90,5.75,US,1621747419
Lüderitz,-26.6481,15.1594,70.14,34,48,13.11,NA,1621747403
Cockburn Town,21.4612,-71.1419,77.61,76,87,18.3,TC,1621747630
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Khatanga,71.9667,102.5,34.95,99,100,7.76,RU,1621747359
Port Augusta,-32.5,137.7667,77.7,23,77,13.82,AU,1621747644
Upernavik,72.7868,-56.1549,20.93,95,78,7.14,GL,1621747367
Lorengau,-2.0226,147.2712,83.59,78,98,5.32,PG,1621747380
Busselton,-33.65,115.3333,54.09,81,88,20.87,AU,1621747363
Ust-Nera,64.5667,143.2,41.32,91,100,1.81,RU,1621747644
Mayo,38.8876,-76.5119,78.75,56,1,4.0,US,1621747645
Dunda,-8.1167,34.25,61.61,69,88,3.76,TZ,1621747645
Zhigansk,66.7697,123.3711,44.64,39,69,2.26,RU,1621747423
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Cape Town,-33.9258,18.4232,60.12,41,0,4.36,ZA,1621747195
Calabozo,8.9242,-67.4293,81.21,63,64,6.17,VE,1621747628
Hjelset,62.7833,7.4833,54.05,66,90,3.78,NO,1621747646
Muros,42.7762,-9.0603,52.84,83,13,3.85,ES,1621747646
Gazli,40.1333,63.45,85.15,19,0,13.29,UZ,1621747646
Busselton,-33.65,115.3333,54.09,81,88,20.87,AU,1621747363
Albany,42.6001,-73.9662,70.81,60,37,7.0,US,1621747105
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Sumter,28.7086,-82.0831,70.11,79,95,6.87,US,1621747647
Busselton,-33.65,115.3333,54.09,81,88,20.87,AU,1621747363
Chapais,49.7834,-74.8492,42.58,95,100,9.71,CA,1621747647
Tuatapere,-46.1333,167.6833,49.82,87,15,5.77,NZ,1621747597
Nālūt,30.3333,10.85,75.67,29,0,9.06,LY,1621747648
Saint-Raymond,45.467,-73.6095,69.82,94,1,2.3,CA,1621747648
Yellowknife,62.456,-114.3525,55.29,54,20,5.75,CA,1621747364
Chokurdakh,70.6333,147.9167,31.44,91,85,5.59,RU,1621747406
Arrecife,28.963,-13.5477,66.27,68,0,24.16,ES,1621747648
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Bluff,-46.6,168.3333,49.8,91,17,13.67,NZ,1621747357
Severo-Yeniseyskiy,60.3725,93.0408,43.86,91,100,6.6,RU,1621747649
Newport,51.5877,-2.9984,48.74,85,99,10.78,GB,1621747649
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Hobart,-42.8794,147.3294,66.92,59,75,4.61,AU,1621747357
Yellowknife,62.456,-114.3525,55.29,54,20,5.75,CA,1621747364
Vaini,-21.2,-175.2,77.16,94,75,2.3,TO,1621747374
Atuona,-9.8,-139.0333,79.92,75,13,18.39,PF,1621747410
Port Elizabeth,-33.918,25.5701,44.89,81,0,3.44,ZA,1621747153
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Port Alberni,49.2413,-124.8028,62.44,82,98,4.32,CA,1621747650
Longyearbyen,78.2186,15.6401,20.43,83,27,2.13,SJ,1621747392
Chumikan,54.7183,135.315,34.57,98,100,16.33,RU,1621747413
Severo-Kuril'sk,50.6789,156.125,45.75,66,9,2.73,RU,1621747423
Faanui,-16.4833,-151.75,81.61,70,13,13.51,PF,1621747419
Shenjiamen,29.9576,122.298,66.51,97,100,12.19,CN,1621747651
Horadiz,39.4488,47.3353,81.37,43,65,2.42,AZ,1621747651
Beloha,-25.1667,45.05,68.74,76,96,6.87,MG,1621747652
Constantine,36.365,6.6147,67.41,55,40,3.44,DZ,1621747652
Chokurdakh,70.6333,147.9167,31.44,91,85,5.59,RU,1621747406
São Paulo de Olivença,-3.3783,-68.8725,74.1,99,87,1.28,BR,1621747652
Waitati,-45.75,170.5667,52.81,68,1,1.61,NZ,1621747653
Hilo,19.7297,-155.09,73.8,94,90,5.75,US,1621747419
Zavet,43.7667,26.6667,64.22,67,100,1.52,BG,1621747653
Te Anau,-45.4167,167.7167,46.62,86,2,1.14,NZ,1621747590
Huarmey,-10.0681,-78.1522,63.99,87,21,4.54,PE,1621747653
Yangi Marg`ilon,40.4272,71.7189,78.22,36,85,6.91,UZ,1621747408
Waddān,29.1614,16.139,75.61,29,0,12.93,LY,1621747654
Wabana,47.6332,-52.9481,56.68,100,90,8.01,CA,1621747654
Ust'-Kan,50.9276,84.761,65.57,48,9,5.14,RU,1621747654
Punta Arenas,-53.15,-70.9167,37.51,89,90,6.02,CL,1621747339
Lebu,-37.6167,-73.65,49.05,89,13,5.55,CL,1621747385
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Katsuura,35.1333,140.3,78.24,69,58,7.09,JP,1621747364
Itambé,-15.245,-40.6244,63.64,85,87,1.21,BR,1621747655
Butaritari,3.0707,172.7902,83.44,80,100,18.86,KI,1621747371
Tiksi,71.6872,128.8694,30.9,76,71,5.77,RU,1621747447
Longyearbyen,78.2186,15.6401,20.43,83,27,2.13,SJ,1621747392
Jamestown,42.097,-79.2353,67.64,68,40,8.05,US,1621747358
Deputatsky,69.3,139.9,28.85,85,100,3.89,RU,1621747412
Mataura,-46.1927,168.8643,49.48,91,3,0.51,NZ,1621747356
Hilo,19.7297,-155.09,73.8,94,90,5.75,US,1621747419
Saint-Estève,42.7131,2.843,59.99,60,0,11.5,FR,1621747656
Benjamín Aceval,-24.9667,-57.5667,51.94,61,4,5.06,PY,1621747657
Chui,-33.6971,-53.4616,51.78,92,79,18.9,UY,1621747370
Lebu,-37.6167,-73.65,49.05,89,13,5.55,CL,1621747385
Hobart,-42.8794,147.3294,66.92,59,75,4.61,AU,1621747357
Pisco,-13.7,-76.2167,64.45,82,90,9.22,PE,1621747456
Kruisfontein,-34.0033,24.7314,50.09,57,62,7.67,ZA,1621747397
Thompson,55.7435,-97.8558,37.56,60,20,3.44,CA,1621747452
Severnyy,50.677,36.5532,62.64,55,0,2.24,RU,1621747658
Thompson,55.7435,-97.8558,37.56,60,20,3.44,CA,1621747452
Tashtagol,52.7657,87.8894,54.36,91,100,4.32,RU,1621747658
Jurm,36.8648,70.8342,64.22,46,100,4.16,AF,1621747658
Avera,33.194,-82.5271,69.31,62,100,5.35,US,1621747659
Albany,42.6001,-73.9662,70.81,60,37,7.0,US,1621747105
Grindavik,63.8424,-22.4338,40.95,76,0,7.0,IS,1621747407
Warwick,41.7001,-71.4162,73.44,73,1,4.61,US,1621747378
